Row.names	logFC	logCPM	PValue	FDR	func	BINCODE	NAME
PGSC0003DMG400000079	2.08406646270199	9.4213878803692	1.04853457503717e-08	2.25836871886757e-05	BCL-2-associated_athanogene_6	20.2.1	stress.abiotic.heat
PGSC0003DMG400000110	1.01208005226254	6.58372385655683	3.40140043290574e-05	0.00564262512417192	Wax_synthase	35.2	not assigned.unknown
PGSC0003DMG400000248	3.01156574752414	4.08769756035338	1.10688195670649e-06	0.000596009813604916	HB1	27.3.22	RNA.regulation of transcription.HB,Homeobox transcription factor family
PGSC0003DMG400000350	1.81196479304853	3.24903629053552	1.2625876017959e-13	3.26328391560167e-09	Zinc_finger_CCCH_domain-containing_protein_20	27.3.12	RNA.regulation of transcription.C3H zinc finger family
PGSC0003DMG400000444	2.13360065151374	5.88698746770372	5.34363577000142e-07	0.000431598781598302	Heat_shock_cognate_70_kDa_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400000491	0.904062428083296	5.5058229595747	0.000116166577355458	0.0135857075037519	Phospholipid-transporting_ATPase	34.1	transport.p- and v-ATPases
PGSC0003DMG400000513	1.38845365159699	2.08031849237183	0.000453281012227751	0.0341450101594756	Stachyose_synthase	3.1.2.1	minor CHO metabolism.raffinose family.raffinose synthases.known
PGSC0003DMG400000718	0.882240173470225	5.58079280847354	1.81654868344723e-05	0.00375604138179018	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400000985	1.41948502791193	4.33640085963428	0.000126431462491554	0.0145832143542362	Conserved_gene_of_unknown_function	17.3.1.1.1	hormone metabolism.brassinosteroid.synthesis-degradation.BRs.DET2
PGSC0003DMG400001181	1.50019778602782	3.25406680937768	2.2907299351553e-05	0.00436607486096985	ACI19	35.2	not assigned.unknown
PGSC0003DMG400001182	0.561961461769784	4.73765033678515	0.000105469285434195	0.0128387424500257	RING_zinc_finger_protein_1	29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
PGSC0003DMG400001203	1.50118117854175	1.62448885120651	0.000394619760556828	0.0309070979737933	Gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400001390	0.751958622657305	2.18314948459156	0.000178267308658314	0.0182366078090188	Gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400001416	1.83838257258241	-0.354488241135243	2.4628980594044e-05	0.00451461441442314	Protein_kinase_APK1B__chloroplast	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII
PGSC0003DMG400001518	1.45626966400871	3.47207951979585	4.58601976043093e-05	0.00705537301952964	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400001621	1.63183468569431	1.28688626168928	0.000372360512844467	0.0296123994307018	Phospholipase_C	11.9.3	lipid metabolism.lipid degradation.lysophospholipases
PGSC0003DMG400002296	1.00610798510076	0.76958486378381	0.000778225911434949	0.0459224358606112	Gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400002312	2.93616734297686	2.05564164992758	2.93110691681296e-05	0.00515356390285358	Photosystem_II_10_kDa_polypeptide__chloroplast	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
PGSC0003DMG400002344	2.02692617428377	-0.0486241815463538	5.78001471992549e-05	0.00825360554978974	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400002724	2.95008347735655	2.34495251386478	3.33222149073099e-06	0.00126653818602108	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400002733	1.10134255788922	0.58812325494826	0.000505054555709602	0.0361596677198625	Gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400002928	2.16482346320146	2.4840403483192	0.000205257566833394	0.0200191964995317	Small_molecular_heat_shock_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400002987	2.41184937591524	4.19434246695489	1.49106554274679e-07	0.00016057533340764	DNAJ_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400003084	2.10022293768604	3.85010555381369	0.000368403873363307	0.0294791532846689	Two-component_response_regulator_ARR8	27.3.5	RNA.regulation of transcription.ARR
PGSC0003DMG400003218	0.695444901304955	5.50735258597814	0.000594532569443637	0.0400163770568756	Pre-mRNA_splicing_factor	27.1.1	RNA.processing.splicing
PGSC0003DMG400003219	5.54494965538275	2.81672147316542	1.78593383683352e-09	9.06423928519533e-06	Small_heat_shock_protein__chloroplastic	20.2.1	stress.abiotic.heat
PGSC0003DMG400003423	0.624821313029806	2.77467088085332	0.000382918514843922	0.0300817991934833	Conserved_gene_of_unknown_function	27.3.67	RNA.regulation of transcription.putative transcription regulator
PGSC0003DMG400003521	0.847507391847254	5.63859773330416	8.48808912508997e-05	0.0110242789712098	Endo-beta-mannanase	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose
PGSC0003DMG400003522	1.10747427491688	5.89981029884763	0.000322678087727054	0.0273906051934736	Galactinol_synthase	3.1.1.2	minor CHO metabolism.raffinose family.galactinol synthases.putative
